barcode,name,brand,grade,sugar,fat,protein,calories,source
no_barcode,Baked egg ,Home/Restaurant,C,15.42,0.0,11.88,0.0,IndianDishes
no_barcode,Plain omelette/omlet,Home/Restaurant,A,0.64,0.0,9.66,0.0,IndianDishes
no_barcode,Stuffed egg omelette/omlet,Home/Restaurant,A,2.3,0.0,8.6,0.0,IndianDishes
no_barcode,Pancake,Home/Restaurant,C,20.49,0.0,5.68,0.0,IndianDishes
no_barcode,Keema pancake,Home/Restaurant,B,9.56,0.0,9.01,0.0,IndianDishes
no_barcode,Vegetable pancake,Home/Restaurant,C,12.24,0.0,3.87,0.0,IndianDishes
no_barcode,Jam and fruit pancake,Home/Restaurant,C,20.73,0.0,3.79,0.0,IndianDishes
no_barcode,Khoa and coconut pancake,Home/Restaurant,D,27.32,0.0,6.98,0.0,IndianDishes
no_barcode,Brown stock,Home/Restaurant,B,0.25,0.0,1.95,0.0,IndianDishes
no_barcode,Vegetable stock,Home/Restaurant,B,0.96,0.0,0.3,0.0,IndianDishes
no_barcode,Chicken stock,Home/Restaurant,B,0.37,0.0,3.69,0.0,IndianDishes
no_barcode,Clear tomato soup (Tamatar ka soup),Home/Restaurant,B,3.45,0.0,4.79,0.0,IndianDishes
no_barcode,Lentil soup,Home/Restaurant,A,3.94,0.0,9.65,0.0,IndianDishes
no_barcode,Chicken consomme (Clear chicken soup),Home/Restaurant,A,1.19,0.0,11.47,0.0,IndianDishes
no_barcode,Cream of tomato soup,Home/Restaurant,B,3.93,0.0,4.61,0.0,IndianDishes
no_barcode,Cream of green peas soup,Home/Restaurant,B,6.75,0.0,7.13,0.0,IndianDishes
no_barcode,Cream of spinach soup,Home/Restaurant,B,3.45,0.0,5.21,0.0,IndianDishes
no_barcode,Cream of mixed vegetable soup,Home/Restaurant,B,4.93,0.0,6.84,0.0,IndianDishes
no_barcode,Cream of mushroom soup,Home/Restaurant,B,3.74,0.0,6.64,0.0,IndianDishes
no_barcode,Chicken sweet corn soup,Home/Restaurant,A,1.63,0.0,14.48,0.0,IndianDishes
no_barcode,Minestrone soup,Home/Restaurant,A,3.71,0.0,9.3,0.0,IndianDishes
no_barcode,Egg drop soup,Home/Restaurant,A,1.1,0.0,12.93,0.0,IndianDishes
no_barcode,Chinese cabbage and meat ball soup,Home/Restaurant,B,1.43,0.0,5.21,0.0,IndianDishes
no_barcode,French onion soup,Home/Restaurant,A,4.28,0.0,11.41,0.0,IndianDishes
no_barcode,Hot and sour soup,Home/Restaurant,B,1.78,0.0,3.12,0.0,IndianDishes
no_barcode,Talaumein soup,Home/Restaurant,A,4.17,0.0,10.12,0.0,IndianDishes
no_barcode,Cold cucumber soup (Thanda kheere ka soup),Home/Restaurant,B,4.58,0.0,2.99,0.0,IndianDishes
no_barcode,Cold summer garden soup,Home/Restaurant,A,2.65,0.0,8.57,0.0,IndianDishes
no_barcode,Chapati/Roti,Home/Restaurant,D,35.65,0.0,5.88,0.0,IndianDishes
no_barcode,Plain parantha/paratha,Home/Restaurant,D,30.69,0.0,5.06,0.0,IndianDishes
no_barcode,Potato parantha/paratha (Aloo ka parantha/paratha),Home/Restaurant,D,23.92,0.0,3.7,0.0,IndianDishes
no_barcode,Radish parantha/paratha (Mooli ka parantha/paratha),Home/Restaurant,C,20.54,0.0,3.3,0.0,IndianDishes
no_barcode,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Home/Restaurant,C,18.84,0.0,3.73,0.0,IndianDishes
no_barcode,Dal parantha/paratha,Home/Restaurant,D,30.03,0.0,6.78,0.0,IndianDishes
no_barcode,Sprouted moong parantha/paratha,Home/Restaurant,D,24.31,0.0,4.29,0.0,IndianDishes
no_barcode,Pea parantha/paratha (Matar ka parantha/paratha),Home/Restaurant,C,21.51,0.0,5.59,0.0,IndianDishes
no_barcode,Keema parantha/paratha,Home/Restaurant,C,18.36,0.0,9.41,0.0,IndianDishes
no_barcode,Paneer parantha/paratha,Home/Restaurant,D,24.33,0.0,7.98,0.0,IndianDishes
no_barcode,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Home/Restaurant,C,21.39,0.0,5.54,0.0,IndianDishes
no_barcode,Poori,Home/Restaurant,B,8.22,0.0,1.35,0.0,IndianDishes
no_barcode,Spinach poori (Palak poori),Home/Restaurant,B,7.76,0.0,1.42,0.0,IndianDishes
no_barcode,Methi poori,Home/Restaurant,B,7.98,0.0,1.45,0.0,IndianDishes
no_barcode,Dal stuffed poori,Home/Restaurant,C,10.14,0.0,2.08,0.0,IndianDishes
no_barcode,Potato stuffed poori (Aloo ki poori),Home/Restaurant,B,9.4,0.0,1.52,0.0,IndianDishes
no_barcode,Tandoori parantha/paratha,Home/Restaurant,D,30.74,0.0,5.08,0.0,IndianDishes
no_barcode,Boiled rice (Uble chawal),Home/Restaurant,D,25.72,0.0,2.6,0.0,IndianDishes
no_barcode,Plain pulao,Home/Restaurant,C,21.82,0.0,2.34,0.0,IndianDishes
no_barcode,Mixed vegetable pulao,Home/Restaurant,C,17.49,0.0,2.72,0.0,IndianDishes
no_barcode,Mushroom pulao,Home/Restaurant,C,19.02,0.0,2.52,0.0,IndianDishes
no_barcode,Sprouted moong pulao,Home/Restaurant,C,17.49,0.0,2.19,0.0,IndianDishes
no_barcode,Paneer pulao,Home/Restaurant,B,8.76,0.0,1.98,0.0,IndianDishes
no_barcode,Peanut pulao ,Home/Restaurant,C,21.18,0.0,5.32,0.0,IndianDishes
no_barcode,Navratan pulao,Home/Restaurant,D,36.98,0.0,6.2,0.0,IndianDishes
no_barcode,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Home/Restaurant,D,27.57,0.0,4.88,0.0,IndianDishes
no_barcode,Mutton biryani/biriyani,Home/Restaurant,C,22.5,0.0,7.38,0.0,IndianDishes
no_barcode,Vegetable biryani/biriyani,Home/Restaurant,C,18.56,0.0,3.16,0.0,IndianDishes
no_barcode,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Home/Restaurant,C,21.62,0.0,4.26,0.0,IndianDishes
no_barcode,Sweet rice (Meethe chawal),Home/Restaurant,D,42.59,0.0,2.1,0.0,IndianDishes
no_barcode,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Home/Restaurant,D,32.93,0.0,5.75,0.0,IndianDishes
no_barcode,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Home/Restaurant,D,65.08,0.0,7.45,0.0,IndianDishes
no_barcode,Spanish rice,Home/Restaurant,D,31.1,0.0,4.19,0.0,IndianDishes
no_barcode,Chinese fried rice,Home/Restaurant,C,13.4,0.0,4.05,0.0,IndianDishes
no_barcode,Macroni cheese pie,Home/Restaurant,C,21.1,0.0,5.85,0.0,IndianDishes
no_barcode,Vegetable chowmein,Home/Restaurant,C,15.44,0.0,3.07,0.0,IndianDishes
no_barcode,Chicken chowmein,Home/Restaurant,C,13.3,0.0,6.33,0.0,IndianDishes
no_barcode,Cheese noodle ring,Home/Restaurant,C,13.96,0.0,6.22,0.0,IndianDishes
no_barcode,Spaghetti and cheese balls in tomato sauce,Home/Restaurant,B,7.82,0.0,2.41,0.0,IndianDishes
no_barcode,Penne platter,Home/Restaurant,C,20.87,0.0,5.04,0.0,IndianDishes
no_barcode,Pasta hot pot,Home/Restaurant,C,11.6,0.0,5.84,0.0,IndianDishes
no_barcode,Chicken lasagne,Home/Restaurant,C,13.9,0.0,10.45,0.0,IndianDishes
no_barcode,Fettuccine with spinach sauce,Home/Restaurant,C,12.19,0.0,3.1,0.0,IndianDishes
no_barcode,Naan,Home/Restaurant,C,51.75,0.0,8.05,0.0,IndianDishes
no_barcode,Bhatura,Home/Restaurant,C,10.73,0.0,1.63,0.0,IndianDishes
no_barcode,Idli,Home/Restaurant,D,28.18,0.0,4.64,0.0,IndianDishes
no_barcode,Masala dosa,Home/Restaurant,C,19.57,0.0,3.29,0.0,IndianDishes
no_barcode,Semolina dosa (Suji/Rava dosa),Home/Restaurant,D,32.84,0.0,7.3,0.0,IndianDishes
no_barcode,Onion tomato uttapam,Home/Restaurant,C,11.32,0.0,1.91,0.0,IndianDishes
no_barcode,Paneer kaathi roll,Home/Restaurant,C,20.1,0.0,6.92,0.0,IndianDishes
no_barcode,Makki ki roti,Home/Restaurant,D,24.19,0.0,3.49,0.0,IndianDishes
no_barcode,Washed moong dal (Dhuli moong ki dal),Home/Restaurant,B,5.91,0.0,2.68,0.0,IndianDishes
no_barcode,Washed urad dal (Dhuli urad ki dal),Home/Restaurant,B,5.84,0.0,2.51,0.0,IndianDishes
no_barcode,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Home/Restaurant,B,7.1,0.0,2.79,0.0,IndianDishes
no_barcode,Dry washed urad,Home/Restaurant,C,15.66,0.0,6.85,0.0,IndianDishes
no_barcode,Mixed dal,Home/Restaurant,B,5.79,0.0,2.51,0.0,IndianDishes
no_barcode,Whole moong (Moong ki dal),Home/Restaurant,B,5.22,0.0,2.25,0.0,IndianDishes
no_barcode,Whole masoor (Masoor ki dal),Home/Restaurant,B,5.37,0.0,2.28,0.0,IndianDishes
no_barcode,Whole moth (Moth ki dal),Home/Restaurant,B,5.74,0.0,2.01,0.0,IndianDishes
no_barcode,Whole urad (Urad ki dal),Home/Restaurant,B,5.05,0.0,2.21,0.0,IndianDishes
no_barcode,Moti mahal dal (Urad rajmah mix dal),Home/Restaurant,B,8.74,0.0,3.93,0.0,IndianDishes
no_barcode,Black channa curry/Bengal gram curry (Kale chane ki curry),Home/Restaurant,C,14.11,0.0,5.67,0.0,IndianDishes
no_barcode,Chickpeas curry (Safed channa curry),Home/Restaurant,C,19.98,0.0,6.1,0.0,IndianDishes
no_barcode,Lobia curry,Home/Restaurant,C,17.88,0.0,6.06,0.0,IndianDishes
no_barcode,Soyabean curry,Home/Restaurant,B,6.76,0.0,10.43,0.0,IndianDishes
